Name,Tags,Link
3D Modeling & Animation at Berkeley,"animation, decal",http://www.ucbugg.com/static/index.html#syllabusbasic
Aerospace SAE,industrial design,https://asae.studentorg.berkeley.edu/
AI Entrepreneurs at Berkeley,"programing, data science, computer science, artificial intelligence",https://aientrepreneurs.org/
ANova,"education, programming, computer science",https://www.berkeleyanova.org/
Big Data @ Berkeley,"education, programming, computer science, data science",https://bd.studentorg.berkeley.edu/
Blockchain @ Berkeley,"blockchain design, human-centered design, product design",https://blockchain.berkeley.edu/
Blueprint,"human-centered design, programming",https://calblueprint.org/
Cal Hacks,"programming, computer science",https://hackberkeley.org/
Code for Good,"programming, computer science, human-centered design, social good",https://codeforgoodberkeley.github.io/
Codebase,"programming, computer science",https://codebase.studentorg.berkeley.edu/
Codeology,"programming, computer science",https://codeology.studentorg.berkeley.edu/
Computer Science Mentors (CSM),"education, programming, computer science",https://csmentors.studentorg.berkeley.edu/#/
Data Science Society,"computer science, data science, artificial intelligence, programming, education",https://dssberkeley.com/
Datagood,"data science, social good, computer science, programming, human-centered design",https://datagood.studentorg.berkeley.edu/
DiversaTech,"web design, human-centered design, programming, product design",https://www.diversatech.org/
EnableTech,"decal, engineering, human-centered design",https://enabletech.berkeley.edu/
Engineering Solutions @ Berkeley,"engineering, industrial design, product design, consulting",https://www.esberkeley.com/
Fintech @ Berkeley,"computer science, data science, programming, consulting",https://www.fintechberkeley.com/
Girls Who Code @ Berkeley,"computer science, programming",https://gwcberkeley.github.io/
Launchpad,"computer science, data science, artificial intelligence, programming",https://launchpad.studentorg.berkeley.edu/
Machine Learning @ Berkeley,"computer science, data science, artificial intelligence, programming, education, consulting",https://ml.studentorg.berkeley.edu/
Mobile Developers at Berkeley,"programming, graphic design, web design",https://mdb.dev/
Neurotech @ Berkeley,"computer science, consulting, education, other",https://neurotech.studentorg.berkeley.edu/
Phi Beta Lambda,"consulting, creative strategy, other",https://pbl.studentorg.berkeley.edu/
PlexTech,"computer science, programming",https://plextech.studentorg.berkeley.edu/
Political Computer Science,"computer science, data science, programming, other",https://pcs.studentorg.berkeley.edu/
Product Space,product design,https://product.berkeley.edu/
Student Association for Applied Statistics,"computer science, data science, programming, artificial intelligence",https://callink.berkeley.edu/organization/saas
UpSync Consulting,"consulting, other",https://www.upsyncberkeley.com/
Valley Consulting,"consulting, other",https://vcg.studentorg.berkeley.edu/
Web Development at Berkeley,"web design, programming, product design",https://webatberkeley.org/
